gz_id;categoria;label;nombre;nombrehoy;santo;variantes;partido_generico;provincia_generica;region;fuente;id_largo
1000001;Ciudad;Mexico;Mexico;Ciudad de Mexico;;;Mexico;Mexico;NES;gerhardNE;Mexico_Mexico_NES_Ciudad
1000002;Ciudad;Guadalajara;Guadalajara;Guadalajara;;;Guadalajara;Guadalajara;GDJ;gerhard-north;Guadalajara_Guadalajara_GDJ_Ciudad
1000003;Villa;Chihuahua;Chihuahua;Chihuahua;;"San Felipe el Real; San Francisco de Cuellar;";Chihuahua;Durango;GDJ;gerhard-north;Chihuahua_Chihuahua_GDJ_Villa
1000004;Ciudad;Durango;Durango;Durango;;Guadiana;Durango;Durango;GDJ;gerhard-north;Durango_Durango_GDJ_Ciudad
1000005;Ciudad;Guanajuato;Real de Guanajuato;Guanajuato;;;Guanajuato;Guanajuato;NES;gerhardNE;Guanajuato_Guanajuato_NES_Ciudad
1000006;Ciudad;Acapulco;Acapulco;Acapulco;;;Acapulco;Mexico;NES;gerhardNE;Acapulco_Acapulco_NES_Ciudad
1000007;Ciudad;Pachuca;Pachuca;;;"Real de Pachuca;";Pachuca;Mexico;NES;gerhardNE;Pachuca_Pachuca_NES_Ciudad
1000008;Ciudad;Valladolid;Valladolid;;;;Valladolid;Michoacan;NES;tanck;Valladolid_Valladolid_NES_Ciudad
1000009;Ciudad;Compostela;Compostela;Compostela;;;Compostela;Guadalajara;GDJ;gerhard-north;Compostela_Compostela_GDJ_Ciudad
1000010;Ciudad;Monterrey;Monterrey;Monterrey;;San Luis Rey de Francia;Monterrey;Nuevo Leon;GDJ;gerhard-north;Monterrey_Monterrey_GDJ_Ciudad
1000011;Ciudad;Linares;San Felipe de Linares;Linares;;;Linares NL;Nuevo Leon;GDJ;gerhard-north;Linares_Linares NL_GDJ_Ciudad
1000012;Villa;Santa Fe;Santa Fe;Santa Fe;;;Santa Fe;Nuevo Mexico;GDJ;gerhard-north;Santa Fe_Santa Fe_GDJ_Villa
1000013;Villa;Santander;Santander;Santander Jimenez;;;Nuevo Santander;Nuevo Santander;GDJ;gerhard-north;Santander_Nuevo Santander_GDJ_Villa
1000014;Ciudad;Antequera;Antequera;Oaxaca de Juarez;;;Antequera;Oaxaca;NES;gerhardNE;Antequera_Antequera_NES_Ciudad
1000015;Ciudad;Puebla;Puebla de los Angeles;Puebla de Zaragoza;;;Puebla;Puebla;NES;gerhardNE;Puebla_Puebla_NES_Ciudad
1000016;Ciudad;San Luis Potosi;San Luis Potosi;San Luis Potosi;;;San Luis Potosi;San Luis Potosi;NES;gerhardNE;San Luis Potosi_San Luis Potosi_NES_Ciudad
1000017;Ciudad;Arizpe;Arizpe;Arizpe;;;Sonora;Sonora-Sinaloa;GDJ;gerhard-north;Arizpe_Sonora_GDJ_Ciudad
1000018;Villa;Villahermosa;Villahermosa;Villahermosa;;;Chontalapa;Tabasco;NES;gerhardSE;Villahermosa_Chontalapa_NES_Villa
1000019;Fuerte;San Antonio;San Antonio de Bexar;San Antonio;;;Texas;Texas;GDJ;gerhard-north;San Antonio_Texas_GDJ_Fuerte
1000020;Ciudad;Tlaxcala;Tlaxcala;Tlaxcala de Xicohtencatl;;;Tlaxcala;Tlaxcala;NES;gerhardNE;Tlaxcala_Tlaxcala_NES_Ciudad
1000021;Ciudad;Veracruz;Nueva Veracruz;Veracruz;;Villa Rica de la Veracruz;Veracruz Nueva;Veracruz;NES;gerhardNE;Veracruz_Veracruz Nueva_NES_Ciudad
1000022;Ciudad;Merida;Merida;Merida;;;Merida;Yucatan;NES;gerhardSE;Merida_Merida_NES_Ciudad
1000023;Villa;Valladolid;Valladolid;Valladolid;;;Villa de Valladolid;Yucatan;NES;MP-Mexico_756;Valladolid_Villa de Valladolid_NES_Villa
1000024;Ciudad;Zacatecas;Zacatecas;Zacatecas;;;Zacatecas;Zacatecas;GDJ;gerhard-north;Zacatecas_Zacatecas_GDJ_Ciudad
1000025;Pueblo;Loreto;Loreto;Loreto Concho;;;Baja Norte;California;GDJ;gerhard-north;Loreto_Baja Norte_GDJ_Pueblo
1000026;Poblacion;Batopilas;San Pedro Batopilas;;;;Batopilas;Durango;GDJ;gerhard-north;Batopilas_Batopilas_GDJ_Poblacion
1000027;Poblacion;Cerro Gordo;Cerro Gordo;Villa Hidalgo;;;Cerro Gordo;Durango;GDJ;gerhard-north;Cerro Gordo_Cerro Gordo_GDJ_Poblacion
1000028;Poblacion;Sianori;Sianori;;;;Topia;Durango;GDJ;gerhard-north;Sianori_Topia_GDJ_Poblacion
1000029;Poblacion;Cienega de los Olivos;Cienega de los Olivos;Valle de Olivos;;;Cienega de los Olivos;Durango;GDJ;gerhard-north;Cienega de los Olivos_Cienega de los Olivos_GDJ_Poblacion
1000030;Poblacion;Conchos;San Francisco Conchos;;San Francisco;;Conchos;Durango;GDJ;tanck;Conchos_Conchos_GDJ_Poblacion
1000031;Poblacion;Cuencame;San Antonio Cuencame;;;;Cuencame;Durango;GDJ;gerhard-north;Cuencame_Cuencame_GDJ_Poblacion
1000032;Poblacion;Cusihuiriachi;Santa Rosa Cusihuiriachi;;Santa Rosa;;Cosihuiriachic;Durango;GDJ;gerhard-north;Cusihuiriachi_Cosihuiriachic_GDJ_Poblacion
1000033;Poblacion;Guanacevi;Guanacevi;;;;Guanacevi;Durango;GDJ;gerhard-north;Guanacevi_Guanacevi_GDJ_Poblacion
