ID;OBJECTID,N,10,0;gz_id;start;start_ex;end_;end_ex;label;iglesia_cat;servido_por;categoria;cat_esp;cabildo;nombre;nombrehoy;santo;variantes;curato_generico;partido_generico;provincia_generica;region;pais;lat;lon;cert;metodo;fuente;last_edited_by;last_edited_date;es_parte_de;parcialidad;importancia
1;700;1000001;1540;exact;1808;hgis;Mexico;Sagrario;;Ciudad;Ciudad;Si;Mexico;Ciudad de Mexico;;;Mexico;Mexico;Mexico;NES;MEX;19,43378643;-99,13313445;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;1
2;2609;1000001;1521;exact;1539;exact;Mexico;Curato;;Ciudad;Ciudad;Si;Mexico;Ciudad de Mexico;;;Mexico;Mexico;Mexico;NES;MEX;19,43378643;-99,13313445;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;6
3;2567;1000002;1542;exact;1547;exact;Guadalajara;Curato;;Ciudad;Ciudad;Si;Guadalajara;Guadalajara;;;Guadalajara;Guadalajara;Guadalajara;GDJ;MEX;20,676143;-103,346998;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;6
4;13410;1000002;1548;exact;9999;end;Guadalajara;Sagrario;;Ciudad;Ciudad;Si;Guadalajara;Guadalajara;;;Guadalajara;Guadalajara;Guadalajara;GDJ;MEX;20,676143;-103,346998;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;1
5;3928;1000003;1708;exact;1714;exact;Chihuahua;Anexo;;Poblacion;Real de minas;s.d.;Chihuahua;Chihuahua;;"San Francisco de Cuellar;";Nombre de Dios;Chihuahua;Durango;GDJ;MEX;28,654323;-106,083947;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;7
6;11645;1000003;1715;exact;9999;end;Chihuahua;Curato;;Villa;Real de minas;Si;Chihuahua;Chihuahua;;"San Felipe el Real;";Chihuahua;Chihuahua;Durango;GDJ;MEX;28,654323;-106,083947;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;3
7;4175;1000004;1563;exact;1619;exact;Durango;Curato;;Ciudad;Ciudad;Si;Durango;Durango;;Guadiana;Durango;Durango;Durango;GDJ;MEX;24,02484;-104,66986;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;6
8;4927;1000004;1620;exact;9999;end;Durango;Sagrario;;Ciudad;Ciudad;Si;Durango;Durango;;Guadiana;Durango;Durango;Durango;GDJ;MEX;24,02484;-104,66986;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;2
9;1462;1000005;1546;exact;1740;exact;Guanajuato;Curato;;Villa;Real de minas;Si;Real de Guanajuato;Guanajuato;;;Guanajuato;Guanajuato;Guanajuato;NES;MEX;21,01661;-101,25272;Buena;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;3
10;2552;1000005;1741;exact;9999;end;Guanajuato;Curato;;Ciudad;Real de minas;Si;Real de Guanajuato;Guanajuato;;;Guanajuato;Guanajuato;Guanajuato;NES;MEX;21,01661;-101,25272;Buena;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;2
11;4267;1000006;1550;exact;1598;exact;Acapulco;Curato;;Poblacion;"""Pueblo""";s.d.;Acapulco;Acapulco;;;Acapulco;Acapulco;Mexico;NES;MEX;16,84865;-99,90849;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;4
12;5235;1000006;1599;exact;9999;end;Acapulco;Curato;;Ciudad;Plaza;s.d.;Acapulco;Acapulco;;;Acapulco;Acapulco;Mexico;NES;MEX;16,84865;-99,90849;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;3
13;9232;1000007;1569;exact;1765;not_after;Pachuca;Curato;;Villa;Real de minas;Si;Pachuca;;;"Real de Pachuca;";Pachuca;Pachuca;Mexico;NES;MEX;20,121599;-98,733139;Buena;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;3
14;14357;1000007;1766;not_after;9999;end;Pachuca;Curato;;Ciudad;Real de minas;Si;Pachuca;;;"Real de Pachuca;";Pachuca;Pachuca;Mexico;NES;MEX;20,121599;-98,733139;Buena;Geoservice/Satelite;gerhardNE;HGIS;19.01.2018;0;No;4
