Numero_corriente;Entidad;Nombre;Variantes;tipo;Provincia_generica;Reg;Entidad_alt;Entidad_alt2
81;AUBA0000;Buenos Aires;;Audiencia;Audiencia;RPL;rpl_audiencia_buenos_aires;BA0000AU
82;AUCA0000;Caracas;Venezuela;Audiencia;Audiencia;VEN;ven_audiencia_caracas;CA0000AU
83;AUCC0000;Charcas;;Audiencia;Audiencia;CHA;cha_audiencia_charcas;CC0000AU
84;AUCO0000;Guatemala;"Confines; Los Confines; Los Confines de Guatemala y Nicaragua";Audiencia;Audiencia;GUA;gua_audiencia_guatemala;CO0000AU
85;AUCU0000;Cuzco;;Audiencia;Audiencia;PER;per_audiencia_cuzco;CU0000AU
86;AUGD0000;Guadalajara;;Audiencia;Audiencia;GDJ;gdj_audiencia_guadalajara;GD0000AU
87;AULI0000;Lima;;Audiencia;Audiencia;PER;per_audiencia_lima;LI0000AU
88;AUMX0000;Mexico;;Audiencia;Audiencia;NES;nes_audiencia_mexico;MX0000AU
89;AUPA0000;Panama;"Tierra Firme; Castilla de Oro";Audiencia;Audiencia;NGR;ngr_audiencia_panama;PA0000AU
90;AUQU0000;Quito;;Audiencia;Audiencia;QUI;qui_audiencia_quito;QU0000AU
91;AUSA0000;Santiago;Chile;Audiencia;Audiencia;CHL;chl_audiencia_santiago;SA0000AU
92;AUSD0000;Santo Domingo;Puerto Principe;Audiencia;Audiencia;SDO;sdo_audiencia_santo_domingo;SD0000AU
93;AUSF0000;Santa Fe;Nuevo Reino de Granada;Audiencia;Audiencia;NGR;ngr_audiencia_santa_fe;SF0000AU
96;CGPI0000;Provincias Internas;;Superior;Superior;GDJ;gdj_superior_provincias_internas;PI0000CG
4;CGPIOC00;Provincias internas del Occidente;;Provincia;Provincia;GDJ;gdj_provincia_provincias_internas_del_occidente;PIOC00CG
97;CGPIOR00;Provincias Internas del Oriente;;Provincia;Provincia;GDJ;gdj_provincia_provincias_internas_del_oriente;PIOR00CG
98;CGQUMA00;Maynas;;Provincia;Provincia;PER;per_provincia_maynas;QUMA00CG
101;CGVE0000;Venezuela;Caracas;Superior;Superior;VEN;ven_superior_venezuela;VE0000CG
102;EXDI0000;Dinamarca;;Extranjero;Extranjero;EXT;ext_extranjero_dinamarca;DI0000EX
103;EXFR0000;Francia;;Extranjero;Extranjero;EXT;ext_extranjero_francia;FR0000EX
104;EXGB0000;Gran Bretaña;Inglaterra;Extranjero;Extranjero;EXT;ext_extranjero_gran_bretaña;GB0000EX
105;EXHA0000;Haiti;Saint-Domingue;Extranjero;Extranjero;EXT;ext_extranjero_haiti;HA0000EX
106;EXPB0000;Paises Bajos;Holanda;Extranjero;Extranjero;EXT;ext_extranjero_paises_bajos;PB0000EX
107;EXPO0000;Portugal;;Extranjero;Extranjero;EXT;ext_extranjero_portugal;PO0000EX
108;EXRU0000;Rusia;;Extranjero;Extranjero;EXT;ext_extranjero_rusia;RU0000EX
