ID;Entidad;tipo;Label;Nombre;cabecera;Cabecera-Label;START;START_ex;END;END_ex;Agregado;Ent_identica;Ent_sup;AbrA;AbrB;Wikilink_tipo;Entidad_alt;Wikilink;Wikilink2;Provincia_generica;REG
1;SUNE0000;Virreinato;Nueva España;Nueva España;1000001;Mexico;1535;exact;1808;hgis;FALSCH;;;V.;Vir.;hgis:virreinato;NE0000SU;nes_superior_nueva españa;NES;Superior;NES
2;SUPE0000;Virreinato;Peru;Peru;6000001;Lima;1542;exact;1808;hgis;FALSCH;;;V.;Vir.;hgis:virreinato;PE0000SU;per_superior_peru;PER;Superior;PER
3;SUNG0000;Virreinato;Nueva Granada;Nueva Granada;5000001;Santa Fe;1718;exact;1723;exact;FALSCH;;;V.;Vir.;hgis:virreinato;NG0000SU;ngr_superior_nueva granada;NGR;Superior;NGR
4;SUNG0000;Virreinato;Nueva Granada;Nueva Granada;5000001;Santa Fe;1740;exact;1808;hgis;FALSCH;;;V.;Vir.;hgis:virreinato;NG0000SU;ngr_superior_nueva granada;NGR;Superior;NGR
5;SURP0000;Virreinato;Rio de la Plata;Rio de la Plata;9000001;Buenos Aires;1776;exact;1808;hgis;FALSCH;;;V.;Vir.;hgis:virreinato;RP0000SU;rpl_superior_rio de la plata;RPL;Superior;RPL
6;AULI0000;Audiencia Real;Lima;Lima;6000001;Lima;1543;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;LI0000AU;per_audiencia_lima;PER;Audiencia;PER
8;AUSA0000;Audiencia Real;Santiago;Santiago;7000001;Santiago;1609;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;SA0000AU;chl_audiencia_santiago;CHL;Audiencia;CHL
9;AUCC0000;Audiencia Real;Charcas;Charcas;8000001;Charcas;1559;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;CC0000AU;cha_audiencia_charcas;CHA;Audiencia;CHA
10;AUQU0000;Audiencia Real;Quito;Quito;5600001;Quito;1564;exact;1717;exact;FALSCH;;;A.;Aud.;hgis:audiencia;QU0000AU;qui_audiencia_quito;QUI;Audiencia;QUI
12;AUBA0000;Audiencia Real;Buenos Aires;Buenos Aires;9000001;Buenos Aires;1785;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;BA0000AU;rpl_audiencia_buenos aires;RPL;Audiencia;RPL
13;AUCU0000;Audiencia Real;Cuzco;Cuzco;6000002;Cuzco;1788;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;CU0000AU;per_audiencia_cuzco;PER;Audiencia;PER
14;AUMX0000;Audiencia Real;Mexico;Mexico;1000001;Mexico;1535;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;MX0000AU;nes_audiencia_mexico;NES;Audiencia;NES
16;AUPA0000;Audiencia Real;Panama;Panama;5000002;Panama;1565;exact;1716;exact;FALSCH;;;A.;Aud.;hgis:audiencia;PA0000AU;ngr_audiencia_panama;NGR;Audiencia;NGR
17;AUPA0000;Audiencia Real;Panama;Panama;5000002;Panama;1722;exact;1750;exact;FALSCH;;;A.;Aud.;hgis:audiencia;PA0000AU;ngr_audiencia_panama;NGR;Audiencia;NGR
21;AUCO0000;Audiencia Real;Guatemala;Confines;2000003;Guatemala;1570;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;CO0000AU;gua_audiencia_guatemala;GUA;Audiencia;GUA
23;AUGD0000;Audiencia Real;Guadalajara;Guadalajara;1000002;Guadalajara;1560;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;GD0000AU;gdj_audiencia_guadalajara;GDJ;Audiencia;GDJ
24;AUSF0000;Audiencia Real;Santa Fe;Santa Fe;5000001;Santa Fe;1739;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;SF0000AU;ngr_audiencia_santa fe;NGR;Audiencia;NGR
25;AUCA0000;Audiencia Real;Caracas;Caracas;4000001;Caracas;1786;exact;1808;hgis;FALSCH;;;A.;Aud.;hgis:audiencia;CA0000AU;ven_audiencia_caracas;VEN;Audiencia;VEN
